timestamp,open,high,low,close,volume,quote_volume
2023-02-15,296.59,317.6,293.19,316.96,1001.711,303767.263945
2023-02-16,317.53,350.55,292.87,304.72,1758.6527,558144.260824
2023-02-17,304.27,317.1,303.15,313.31,773.2916,240168.514923
2023-02-18,313.39,319.0,313.39,316.74,446.1851,141060.349415
2023-02-19,316.52,318.68,309.63,311.41,951.5373,299598.257257
2023-02-20,312.09,319.71,308.09,315.07,876.9828,276700.262424
2023-02-21,315.74,317.3,309.64,311.36,816.3742,255721.389111
2023-02-22,311.48,312.98,303.69,312.76,1043.1873,321095.274346
2023-02-23,312.64,315.18,305.92,308.42,762.1172,236623.00871
2023-02-24,307.93,311.83,298.78,302.0,855.8511,261899.99705
2023-02-25,302.28,302.86,295.76,302.37,445.432,133899.043375
2023-02-26,302.56,309.72,300.92,308.83,416.4853,127111.700244
2023-02-27,308.57,309.06,300.79,304.49,970.8904,296807.053764
2023-02-28,304.97,305.67,300.01,301.28,548.2308,166074.425531
2023-03-01,301.66,306.2,300.8,302.76,372.995,113007.794226
2023-03-02,302.71,303.64,296.0,299.98,553.9783,165313.533319
2023-03-03,299.59,299.59,286.35,290.28,1494.2035,433254.881799
2023-03-04,290.34,319.0,286.08,289.58,1651.9974,484920.82871
2023-03-05,289.74,292.41,287.61,288.75,985.3864,286289.405231
2023-03-06,288.72,289.6,283.43,287.73,1029.4159,295102.257709
2023-03-07,287.85,290.37,283.5,289.24,1517.1403,435523.31411
2023-03-08,289.4,293.14,285.19,286.58,1004.4346,290386.810163
2023-03-09,287.05,291.01,271.69,277.17,1407.5379,397531.125016
2023-03-10,276.03,279.23,265.55,278.46,1026.1374,280151.292453
2023-03-11,278.66,321.85,278.51,287.26,5448.8074,1620118.252308
2023-03-12,287.08,295.2,283.4,292.89,2247.2507,646800.480544
2023-03-13,292.4,315.0,289.24,308.93,1452.7059,442340.481579
2023-03-14,309.52,337.9,303.19,309.4,807.1285,252168.712062
2023-03-15,309.85,314.34,302.0,307.46,274.8412,85020.849491
2023-03-16,307.11,333.21,304.08,330.14,1018.9045,330118.615465
2023-03-17,330.29,340.61,326.96,339.3,659.0185,219918.893513
2023-03-18,339.3,350.0,329.43,331.17,1147.4019,390099.345468
2023-03-19,332.24,354.0,332.24,337.17,377.2723,127815.68003
2023-03-20,337.64,349.0,333.04,335.29,654.8175,220513.097724
2023-03-21,332.92,340.58,328.74,335.6,269.667,90353.657148
2023-03-22,335.39,340.1,317.25,322.02,598.0967,197036.342939
2023-03-23,322.87,332.55,320.18,329.82,268.7771,88051.876355
2023-03-24,330.37,330.5,309.02,322.54,478.396,153814.783371
2023-03-25,322.55,325.0,319.5,322.43,160.0922,51661.585919
2023-03-26,323.35,329.64,323.35,328.94,128.1937,41916.693624
2023-03-27,328.92,329.64,306.31,311.29,977.2471,306746.085971
2023-03-28,310.7,315.17,307.23,312.84,241.7892,75199.456728
2023-03-29,313.01,319.42,313.01,313.71,218.1451,68837.943696
2023-03-30,312.68,319.55,309.58,316.54,306.1555,96517.054392
2023-03-31,316.53,319.81,313.54,317.15,263.2861,83660.06392
2023-04-01,317.63,318.43,313.7,314.63,274.0858,86374.141951
2023-04-02,315.01,316.05,311.94,314.0,73.7991,23164.236734
2023-04-03,314.0,314.21,300.0,308.76,411.9947,126172.824222
2023-04-04,309.94,312.29,308.2,311.06,181.2062,56330.263291
2023-04-05,310.66,328.4,310.65,314.58,364.1774,114650.966237
2023-04-06,313.28,314.56,311.58,312.5,107.6391,33699.551538
2023-04-07,311.97,312.48,309.2,310.52,157.2355,48895.33035
2023-04-08,310.52,312.54,310.52,310.88,107.6981,33545.287866
2023-04-09,310.82,313.61,309.73,312.97,74.251,23130.395245
2023-04-10,312.8,318.37,312.0,318.36,103.7415,32567.297867
2023-04-11,318.27,333.3,317.99,322.8,412.024,134413.337218
2023-04-12,322.93,323.39,316.01,320.43,343.3477,109642.771549
2023-04-13,320.24,325.17,318.24,324.43,227.2623,73225.412724
2023-04-14,324.96,335.67,323.65,328.82,598.4644,197974.855865
2023-04-15,328.09,336.2,327.38,333.28,416.68,138851.410346
2023-04-16,333.28,356.43,330.87,348.18,609.8462,211087.409791
